preox_duration,ascent_rate_ftmin,cruise_alt_ft,cruise_duration,total_flight_time,risk_index,risk_probability
10,1000,15000,5,30.0,0.0,0.0
10,1000,16000,5,31.0,0.0,0.0
10,1000,17000,5,32.0,0.0,0.0
10,1000,18000,5,33.0,0.0,0.0
10,1000,19000,5,34.0,0.0,0.0
10,1000,20000,5,35.0,0.0,0.0
10,1000,21000,5,36.0,0.0,0.0
10,1000,22000,5,37.0,0.0,0.0
10,1000,23000,5,38.0,0.0,0.0
10,1000,24000,5,39.0,0.0,0.0
10,1000,25000,5,40.0,0.0,0.0
10,1000,26000,5,41.0,10.21463114919129,0.9999633695665919
10,1000,27000,5,42.0,25.51147765311537,0.9999999999916727
10,1000,28000,5,43.0,42.43259989995286,1.0
10,1000,29000,5,44.0,60.82656648890579,1.0
10,1000,30000,5,45.0,80.54922767576197,1.0
10,1000,31000,5,46.0,101.46371198664143,1.0
10,1000,32000,5,47.0,123.44037449531471,1.0
10,1000,33000,5,48.0,146.35670359649444,1.0
10,1000,34000,5,49.00000000000001,170.09719254531157,1.0
10,1000,35000,5,50.0,194.55318148105377,1.0
10,1000,36000,5,51.0,219.62267511777063,1.0
10,1000,37000,5,52.0,245.21014077066695,1.0
10,1000,38000,5,53.00000000000001,271.2262908990466,1.0
10,1000,39000,5,54.0,297.5878538865276,1.0
10,1000,40000,5,55.0,324.217336348964,1.0
10,1000,15000,10,35.0,0.0,0.0
10,1000,16000,10,36.0,0.0,0.0
10,1000,17000,10,37.0,0.0,0.0
10,1000,18000,10,38.0,0.0,0.0
10,1000,19000,10,39.0,0.0,0.0
10,1000,20000,10,40.0,0.0,0.0
10,1000,21000,10,41.0,0.0,0.0
10,1000,22000,10,42.0,0.0,0.0
10,1000,23000,10,43.0,0.0,0.0
10,1000,24000,10,44.0,0.0,0.0
10,1000,25000,10,45.0,0.0,0.0
10,1000,26000,10,46.0,18.19413864912931,0.9999999874574459
10,1000,27000,10,47.0,43.532412663735506,1.0
10,1000,28000,10,48.0,69.71436288823864,1.0
10,1000,29000,10,49.0,96.6239782243565,1.0
10,1000,30000,10,50.0,124.15248807834496,1.0
10,1000,31000,10,51.0,152.19813809061407,1.0
10,1000,32000,10,52.0,180.66594895967154,1.0
10,1000,33000,10,53.0,209.46746250610732,1.0
10,1000,34000,10,54.00000000000001,238.5204786378234,1.0
10,1000,35000,10,55.0,267.74878642790577,1.0
10,1000,36000,10,56.0,297.08189210160856,1.0
10,1000,37000,10,57.0,326.45474634852275,1.0
10,1000,38000,10,58.00000000000001,355.80747302930035,1.0
10,1000,39000,10,59.0,385.08510103199563,1.0
10,1000,40000,10,60.0,414.23730074977084,1.0
10,1000,15000,15,40.0,0.0,0.0
10,1000,16000,15,41.0,0.0,0.0
10,1000,17000,15,42.0,0.0,0.0
10,1000,18000,15,43.0,0.0,0.0
10,1000,19000,15,44.0,0.0,0.0
10,1000,20000,15,45.0,0.0,0.0
10,1000,21000,15,46.0,0.0,0.0
10,1000,22000,15,47.0,0.0,0.0
10,1000,23000,15,48.0,0.0,0.0
10,1000,24000,15,49.0,0.0,0.0
10,1000,25000,15,50.0,0.0,0.0
10,1000,26000,15,51.0,24.938768758751106,0.9999999999852351
10,1000,27000,15,52.0,58.73626893795865,1.0
10,1000,28000,15,53.0,92.69165237094145,1.0
10,1000,29000,15,54.0,126.72497348517702,1.0
10,1000,30000,15,55.0,160.76263598923873,1.0
10,1000,31000,15,56.0,194.7370694396353,1.0
10,1000,32000,15,57.0,228.5864095514429,1.0
10,1000,33000,15,58.0,262.25418409208,1.0
10,1000,34000,15,59.00000000000001,295.68900587648886,1.0
10,1000,35000,15,60.0,328.844274095867,1.0
10,1000,36000,15,61.0,361.6778849584629,1.0
10,1000,37000,15,62.0,394.1519523974814,1.0
10,1000,38000,15,63.00000000000001,426.232539405401,1.0
10,1000,39000,15,64.0,457.8894003835802,1.0
10,1000,40000,15,65.0,489.0957347486808,1.0
10,1000,15000,20,45.0,0.0,0.0
10,1000,16000,20,46.0,0.0,0.0
