scenario_id,scenario,error
0,"{'altitude': 21069.47513653289, 'time_at_altitude': 263.5180227572754, 'prebreathing_time': 157.91417193235503, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
1,"{'altitude': 21707.802873400185, 'time_at_altitude': 348.21904382772976, 'prebreathing_time': 36.97728360895393, 'exercise_level': 'Mild'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
2,"{'altitude': 22882.537425765146, 'time_at_altitude': 262.1953199103585, 'prebreathing_time': 115.16532015524322, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
3,"{'altitude': 23217.5533928762, 'time_at_altitude': 85.06376254479437, 'prebreathing_time': 29.917302410509663, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
4,"{'altitude': 21667.975757921333, 'time_at_altitude': 304.5082936135437, 'prebreathing_time': 86.53536691800892, 'exercise_level': 'Mild'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
5,"{'altitude': 18504.584634328952, 'time_at_altitude': 138.26989368040967, 'prebreathing_time': 182.85551630688886, 'exercise_level': 'Mild'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
6,"{'altitude': 22957.710293853015, 'time_at_altitude': 216.38470539211787, 'prebreathing_time': 111.92002754155838, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
7,"{'altitude': 21281.773349964387, 'time_at_altitude': 101.96598821239037, 'prebreathing_time': 223.08913201993812, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
8,"{'altitude': 24249.10491887275, 'time_at_altitude': 110.0811721882991, 'prebreathing_time': 11.736653474758105, 'exercise_level': 'Mild'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
9,"{'altitude': 19068.445332047155, 'time_at_altitude': 355.81199031660265, 'prebreathing_time': 57.71553616834599, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
