altitude,prebreathing_time,exercise_level,time_at_altitude,risk_of_decompression_sickness
18000,0,Rest,10,0.00
18000,0,Rest,20,0.00
18000,0,Rest,30,0.00
18000,0,Rest,40,0.00
18000,0,Rest,50,0.00
18000,0,Rest,60,0.00
18000,0,Rest,70,0.00
18000,0,Rest,80,0.00
18000,0,Rest,90,0.00
18000,0,Rest,100,0.00
18000,0,Rest,110,0.00
18000,0,Rest,120,0.00
18000,0,Rest,130,0.00
18000,0,Rest,140,0.00
18000,0,Rest,150,0.01
18000,0,Rest,160,0.01
18000,0,Rest,170,0.01
18000,0,Rest,180,0.01
18000,0,Rest,190,0.01
18000,0,Rest,200,0.01
18000,0,Rest,210,0.01
18000,0,Rest,220,0.01
18000,0,Rest,230,0.01
18000,0,Rest,240,0.01
18000,0,Mild,10,0.00
18000,0,Mild,20,0.00
18000,0,Mild,30,0.00
18000,0,Mild,40,0.00
18000,0,Mild,50,0.00
18000,0,Mild,60,0.00
18000,0,Mild,70,0.01
18000,0,Mild,80,0.01
18000,0,Mild,90,0.01
18000,0,Mild,100,0.01
18000,0,Mild,110,0.01
18000,0,Mild,120,0.01
18000,0,Mild,130,0.01
18000,0,Mild,140,0.01
18000,0,Mild,150,0.02
18000,0,Mild,160,0.02
18000,0,Mild,170,0.02
18000,0,Mild,180,0.02
18000,0,Mild,190,0.02
18000,0,Mild,200,0.02
18000,0,Mild,210,0.02
18000,0,Mild,220,0.03
18000,0,Mild,230,0.03
18000,0,Mild,240,0.03
18000,0,Heavy,10,0.00
18000,0,Heavy,20,0.00
18000,0,Heavy,30,0.01
18000,0,Heavy,40,0.01
18000,0,Heavy,50,0.01
18000,0,Heavy,60,0.01
18000,0,Heavy,70,0.02
18000,0,Heavy,80,0.02
18000,0,Heavy,90,0.03
18000,0,Heavy,100,0.03
18000,0,Heavy,110,0.03
18000,0,Heavy,120,0.04
18000,0,Heavy,130,0.04
18000,0,Heavy,140,0.05
18000,0,Heavy,150,0.05
18000,0,Heavy,160,0.06
18000,0,Heavy,170,0.06
18000,0,Heavy,180,0.07
18000,0,Heavy,190,0.07
18000,0,Heavy,200,0.08
18000,0,Heavy,210,0.08
18000,0,Heavy,220,0.09
18000,0,Heavy,230,0.09
18000,0,Heavy,240,0.10
18000,15,Rest,10,0.00
18000,15,Rest,20,0.00
18000,15,Rest,30,0.00
18000,15,Rest,40,0.00
18000,15,Rest,50,0.00
18000,15,Rest,60,0.00
18000,15,Rest,70,0.00
18000,15,Rest,80,0.00
18000,15,Rest,90,0.00
18000,15,Rest,100,0.00
18000,15,Rest,110,0.00
18000,15,Rest,120,0.00
18000,15,Rest,130,0.00
18000,15,Rest,140,0.00
18000,15,Rest,150,0.00
18000,15,Rest,160,0.00
18000,15,Rest,170,0.00
18000,15,Rest,180,0.00
18000,15,Rest,190,0.00
18000,15,Rest,200,0.00
18000,15,Rest,210,0.00
18000,15,Rest,220,0.00
18000,15,Rest,230,0.00
18000,15,Rest,240,0.00
18000,15,Mild,10,0.00
18000,15,Mild,20,0.00
18000,15,Mild,30,0.00
18000,15,Mild,40,0.00
18000,15,Mild,50,0.00
18000,15,Mild,60,0.00
18000,15,Mild,70,0.00
18000,15,Mild,80,0.00
18000,15,Mild,90,0.00
18000,15,Mild,100,0.00
18000,15,Mild,110,0.00
18000,15,Mild,120,1.00
18000,15,Mild,130,1.00
18000,15,Mild,140,1.00
18000,15,Mild,150,1.00
18000,15,Mild,160,1.00
18000,15,Mild,170,1.00
18000,15,Mild,180,1.00
18000,15,Mild,190,1.00
18000,15,Mild,200,1.00
18000,15,Mild,210,1.00
18000,15,Mild,220,1.00
18000,15,Mild,230,1.00
18000,15,Mild,240,1.00
18000,15,Heavy,10,0.00
18000,15,Heavy,20,0.00
18000,15,Heavy,30,0.00
18000,15,Heavy,40,0.00
18000,15,Heavy,50,1.00
18000,15,Heavy,60,1.00
18000,15,Heavy,70,1.00
18000,15,Heavy,80,1.00
18000,15,Heavy,90,1.00
18000,15,Heavy,100,1.00
18000,15,Heavy,110,2.00
18000,15,Heavy,120,2.00
18000,15,Heavy,130,2.00
18000,15,Heavy,140,2.00
18000,15,Heavy,150,3.00
18000,15,Heavy,160,3.00
18000,15,Heavy,170,3.00
18000,15,Heavy,180,3.00
18000,15,Heavy,190,4.00
18000,15,Heavy,200,4.00
18000,15,Heavy,210,4.00
18000,15,Heavy,220,4.00
18000,15,Heavy,230,5.00
18000,15,Heavy,240,5.00
18000,30,Rest,10,0.00
18000,30,Rest,20,0.00
18000,30,Rest,30,0.00
